impurity,epsilon,p,delta_a,delta_b,n_samples,repetitions,wrong_rate,correct_rate,tie_rate,wrong_rate_se,mean_empirical_margin,std_empirical_margin
gini,,0.425,0.08,0.04,500,2000,0.0985,0.9015,0.0,0.006663248081829162,0.019235649195579255,0.016273495244372462
entropy,,0.425,0.08,0.04,500,2000,0.098,0.902,0.0,0.006648157639526909,0.014333760943926776,0.012146346120209104
restricted_quadratic_global,0.15,0.425,0.08,0.04,500,2000,0.0985,0.9015,0.0,0.006663248081829162,0.021138076039098085,0.017882961807002707
restricted_quadratic_local,0.15,0.425,0.08,0.04,500,2000,0.0985,0.9015,0.0,0.006663248081829162,0.039256426929753604,0.03321121478443361
restricted_entropy_global,0.15,0.425,0.08,0.04,500,2000,0.098,0.902,0.0,0.006648157639526909,0.018723854158189234,0.015866485718533184
restricted_entropy_local,0.15,0.425,0.08,0.04,500,2000,0.098,0.902,0.0,0.006648157639526909,0.03673818981611579,0.03113172956366023
gini,,0.425,0.08,0.04,1000,2000,0.0375,0.9625,0.0,0.004248161366991607,0.019240945987231042,0.011252114727939156
entropy,,0.425,0.08,0.04,1000,2000,0.0375,0.9625,0.0,0.004248161366991607,0.014309946779115719,0.008380952843902851
restricted_quadratic_global,0.15,0.425,0.08,0.04,1000,2000,0.0375,0.9625,0.0,0.004248161366991607,0.021143896689264877,0.012364961239493578
restricted_quadratic_local,0.15,0.425,0.08,0.04,1000,2000,0.0375,0.9625,0.0,0.004248161366991607,0.03926723670863479,0.0229634994447738
restricted_entropy_global,0.15,0.425,0.08,0.04,1000,2000,0.0375,0.9625,0.0,0.004248161366991607,0.018692746275857056,0.010947841209978255
restricted_entropy_local,0.15,0.425,0.08,0.04,1000,2000,0.0375,0.9625,0.0,0.004248161366991607,0.03667715284817949,0.021480826813263992
gini,,0.425,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.018886852091758985,0.00777796354675201
entropy,,0.425,0.08,0.04,2000,2000,0.0065,0.9935,0.0,0.0017969070649312946,0.014035874609916725,0.005787596031366528
restricted_quadratic_global,0.15,0.425,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.020754782518416465,0.008547212688738476
restricted_quadratic_local,0.15,0.425,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.03854459610563059,0.01587339499337146
restricted_entropy_global,0.15,0.425,0.08,0.04,2000,2000,0.0065,0.9935,0.0,0.0017969070649312946,0.01833473225950952,0.007560200316005443
restricted_entropy_local,0.15,0.425,0.08,0.04,2000,2000,0.0065,0.9935,0.0,0.0017969070649312946,0.035974691336875066,0.014833915705105413
gini,,0.45,0.08,0.04,25,2000,0.418,0.5375,0.0445,0.011028961873177366,0.015955303517603825,0.10000608097003105
entropy,,0.45,0.08,0.04,25,2000,0.4195,0.5365,0.044,0.011034485715247448,0.01286347860369473,0.08211214369030695
restricted_quadratic_global,0.15,0.45,0.08,0.04,25,2000,0.417,0.5385,0.0445,0.011025221086218633,0.01729858873319153,0.10834014300330959
restricted_quadratic_local,0.15,0.45,0.08,0.04,25,2000,0.418,0.538,0.044,0.011028961873177366,0.02920595050449856,0.18422123694746764
restricted_entropy_global,0.15,0.45,0.08,0.04,25,2000,0.419,0.537,0.044,0.011032656071862296,0.01615207661593942,0.10229370491648769
restricted_entropy_local,0.15,0.45,0.08,0.04,25,2000,0.4175,0.5385,0.044,0.011027097306181713,0.028414514198730343,0.18012297087751167
gini,,0.45,0.08,0.04,50,2000,0.36,0.62,0.02,0.01073312629199899,0.018232509218004296,0.060261189967711126
entropy,,0.45,0.08,0.04,50,2000,0.3605,0.6195,0.02,0.010736380907922371,0.013948302936472477,0.04642587040171037
restricted_quadratic_global,0.15,0.45,0.08,0.04,50,2000,0.36,0.62,0.02,0.01073312629199899,0.020006768840995514,0.06611829902505183
restricted_quadratic_local,0.15,0.45,0.08,0.04,50,2000,0.3605,0.6195,0.02,0.010736380907922371,0.036486856418991666,0.12062616924205857
restricted_entropy_global,0.15,0.45,0.08,0.04,50,2000,0.3605,0.6195,0.02,0.010736380907922371,0.018162762317423548,0.060414097248435265
restricted_entropy_local,0.15,0.45,0.08,0.04,50,2000,0.361,0.619,0.02,0.01073962289840756,0.03488682523750711,0.11581169739599029
gini,,0.45,0.08,0.04,100,2000,0.3065,0.687,0.0065,0.010309164612130316,0.018192168609118025,0.03922322900686902
entropy,,0.45,0.08,0.04,100,2000,0.3065,0.687,0.0065,0.010309164612130316,0.013614220363349503,0.02949155323296421
restricted_quadratic_global,0.15,0.45,0.08,0.04,100,2000,0.3065,0.687,0.0065,0.010309164612130316,0.0199913691009289,0.043102390027611445
restricted_quadratic_local,0.15,0.45,0.08,0.04,100,2000,0.3065,0.687,0.0065,0.010309164612130316,0.03711968547315368,0.08003093815976059
restricted_entropy_global,0.15,0.45,0.08,0.04,100,2000,0.3065,0.687,0.0065,0.010309164612130316,0.017783892907191498,0.03852400013322556
restricted_entropy_local,0.15,0.45,0.08,0.04,100,2000,0.3065,0.687,0.0065,0.010309164612130316,0.03488586849221808,0.0755661412394906
gini,,0.45,0.08,0.04,200,2000,0.2005,0.7975,0.002,0.008952646256833787,0.01902270328413483,0.025542445405562768
entropy,,0.45,0.08,0.04,200,2000,0.2005,0.7975,0.002,0.008952646256833787,0.014075509245591296,0.018952852716545576
restricted_quadratic_global,0.15,0.45,0.08,0.04,200,2000,0.2005,0.7975,0.002,0.008952646256833787,0.020904069543005294,0.028068621324794242
restricted_quadratic_local,0.15,0.45,0.08,0.04,200,2000,0.2005,0.7975,0.002,0.008952646256833787,0.03882184343700986,0.052127439603189336
restricted_entropy_global,0.15,0.45,0.08,0.04,200,2000,0.2005,0.7975,0.002,0.008952646256833787,0.018386506050134813,0.024757664895799666
restricted_entropy_local,0.15,0.45,0.08,0.04,200,2000,0.2005,0.7975,0.002,0.008952646256833787,0.03607627701103283,0.04857716710786621
gini,,0.45,0.08,0.04,500,2000,0.0985,0.901,0.0005,0.006663248081829162,0.019281551949463436,0.01623516603487399
entropy,,0.45,0.08,0.04,500,2000,0.0985,0.901,0.0005,0.006663248081829162,0.014187744622404125,0.011975919121800717
restricted_quadratic_global,0.15,0.45,0.08,0.04,500,2000,0.0985,0.901,0.0005,0.006663248081829162,0.02118851862578399,0.01784084179656482
restricted_quadratic_local,0.15,0.45,0.08,0.04,500,2000,0.0985,0.901,0.0005,0.006663248081829162,0.039350106019313144,0.03313299190790612
restricted_entropy_global,0.15,0.45,0.08,0.04,500,2000,0.0985,0.901,0.0005,0.006663248081829162,0.018533116478134395,0.01564386094647931
restricted_entropy_local,0.15,0.45,0.08,0.04,500,2000,0.0985,0.901,0.0005,0.006663248081829162,0.03636394223675853,0.03069491612426972
gini,,0.45,0.08,0.04,1000,2000,0.0305,0.9695,0.0,0.0038451105315712316,0.019226738223653835,0.010895787004244864
entropy,,0.45,0.08,0.04,1000,2000,0.0305,0.9695,0.0,0.0038451105315712316,0.014121282415700074,0.008023055394962012
restricted_quadratic_global,0.15,0.45,0.08,0.04,1000,2000,0.0305,0.9695,0.0,0.0038451105315712316,0.021128283762256964,0.011973392312356994
restricted_quadratic_local,0.15,0.45,0.08,0.04,1000,2000,0.0305,0.9695,0.0,0.0038451105315712316,0.03923824127276295,0.022236300008662988
restricted_entropy_global,0.15,0.45,0.08,0.04,1000,2000,0.0305,0.9695,0.0,0.0038451105315712316,0.01844629846364216,0.010480328205975246
restricted_entropy_local,0.15,0.45,0.08,0.04,1000,2000,0.0305,0.9695,0.0,0.0038451105315712316,0.036193596074642176,0.02056351666240207
gini,,0.45,0.08,0.04,2000,2000,0.0045,0.9955,0.0,0.0014966211945579282,0.019315948861286063,0.007962681135423769
entropy,,0.45,0.08,0.04,2000,2000,0.0045,0.9955,0.0,0.0014966211945579282,0.014171403090024853,0.005853726761067042
restricted_quadratic_global,0.15,0.45,0.08,0.04,2000,2000,0.0045,0.9955,0.0,0.0014966211945579282,0.02122631742998468,0.00875019904991623
restricted_quadratic_local,0.15,0.45,0.08,0.04,2000,2000,0.0045,0.9955,0.0,0.0014966211945579282,0.03942030379854299,0.01625036966413015
restricted_entropy_global,0.15,0.45,0.08,0.04,2000,2000,0.0045,0.9955,0.0,0.0014966211945579282,0.018511769919461643,0.007646585329898931
restricted_entropy_local,0.15,0.45,0.08,0.04,2000,2000,0.0045,0.9955,0.0,0.0014966211945579282,0.036322058022225844,0.01500341227407429
gini,,0.475,0.08,0.04,25,2000,0.4205,0.538,0.0415,0.011038110119037587,0.01806699277399587,0.09739654348024954
entropy,,0.475,0.08,0.04,25,2000,0.4205,0.539,0.0405,0.011038110119037587,0.014511955057195316,0.07846169709100002
restricted_quadratic_global,0.15,0.475,0.08,0.04,25,2000,0.4205,0.538,0.0415,0.011038110119037587,0.019639685259908442,0.10606637063202737
restricted_quadratic_local,0.15,0.475,0.08,0.04,25,2000,0.423,0.5365,0.0405,0.011046967909793166,0.033507986911258544,0.18469999066237444
restricted_entropy_global,0.15,0.475,0.08,0.04,25,2000,0.4205,0.539,0.0405,0.011038110119037587,0.018404824446676373,0.09957988187664277
restricted_entropy_local,0.15,0.475,0.08,0.04,25,2000,0.4225,0.537,0.0405,0.01104521955417818,0.03278333229322813,0.18021943985632255
gini,,0.475,0.08,0.04,50,2000,0.3865,0.595,0.0185,0.010888474411045838,0.015585167925667805,0.06277818784711214
entropy,,0.475,0.08,0.04,50,2000,0.386,0.5955,0.0185,0.01088586239119345,0.011833369762508908,0.048055717881667535
restricted_quadratic_global,0.15,0.475,0.08,0.04,50,2000,0.3865,0.5955,0.018,0.010888474411045838,0.017112550405694083,0.06892371806962291
restricted_quadratic_local,0.15,0.475,0.08,0.04,50,2000,0.386,0.5955,0.0185,0.01088586239119345,0.031551879324860456,0.12686730567165455
restricted_entropy_global,0.15,0.475,0.08,0.04,50,2000,0.386,0.5955,0.0185,0.01088586239119345,0.015427733423764248,0.06262084094755656
restricted_entropy_local,0.15,0.475,0.08,0.04,50,2000,0.3855,0.596,0.0185,0.010883238258900703,0.030014289331920296,0.12146893801933076
gini,,0.475,0.08,0.04,100,2000,0.306,0.6885,0.0055,0.010304465051617187,0.01823004806437256,0.039604916709223045
entropy,,0.475,0.08,0.04,100,2000,0.306,0.6885,0.0055,0.010304465051617187,0.013559308603756027,0.02963078331229375
restricted_quadratic_global,0.15,0.475,0.08,0.04,100,2000,0.306,0.6885,0.0055,0.010304465051617187,0.020031926912889172,0.04351783126454072
restricted_quadratic_local,0.15,0.475,0.08,0.04,100,2000,0.306,0.6885,0.0055,0.010304465051617187,0.037155007123937045,0.08066248315396156
restricted_entropy_global,0.15,0.475,0.08,0.04,100,2000,0.306,0.6885,0.0055,0.010304465051617187,0.017710240935007626,0.038697540360080766
restricted_entropy_local,0.15,0.475,0.08,0.04,100,2000,0.306,0.6885,0.0055,0.010304465051617187,0.03469645721493351,0.07572854594627745
gini,,0.475,0.08,0.04,200,2000,0.2205,0.7785,0.001,0.009270376205958419,0.018573337028196746,0.02810250327754886
entropy,,0.475,0.08,0.04,200,2000,0.2205,0.7785,0.001,0.009270376205958419,0.01365250654480738,0.02073898907117597
restricted_quadratic_global,0.15,0.475,0.08,0.04,200,2000,0.2205,0.7785,0.001,0.009270376205958419,0.02041026047054587,0.030881871733570165
restricted_quadratic_local,0.15,0.475,0.08,0.04,200,2000,0.2205,0.7785,0.001,0.009270376205958419,0.03790476944529951,0.057352047505201766
restricted_entropy_global,0.15,0.475,0.08,0.04,200,2000,0.2205,0.7785,0.001,0.009270376205958419,0.017833947589798966,0.027090852727072186
restricted_entropy_local,0.15,0.475,0.08,0.04,200,2000,0.2205,0.7785,0.001,0.009270376205958419,0.03499209864536018,0.053155129353126024
gini,,0.475,0.08,0.04,500,2000,0.087,0.9125,0.0005,0.006302023484564303,0.020048236404738677,0.01603899862994925
entropy,,0.475,0.08,0.04,500,2000,0.087,0.9125,0.0005,0.006302023484564303,0.01463917689286192,0.011746885659917427
restricted_quadratic_global,0.15,0.475,0.08,0.04,500,2000,0.087,0.9125,0.0005,0.006302023484564303,0.022031029016196343,0.017625273219724454
restricted_quadratic_local,0.15,0.475,0.08,0.04,500,2000,0.087,0.9125,0.0005,0.006302023484564303,0.040914768172936086,0.03273265026520257
restricted_entropy_global,0.15,0.475,0.08,0.04,500,2000,0.087,0.9125,0.0005,0.006302023484564303,0.019122811815416654,0.015344679932199522
restricted_entropy_local,0.15,0.475,0.08,0.04,500,2000,0.087,0.9125,0.0005,0.006302023484564303,0.03752098709791382,0.03010789120946704
gini,,0.475,0.08,0.04,1000,2000,0.035,0.965,0.0,0.004109440351191388,0.019494087886531737,0.011576563460528155
entropy,,0.475,0.08,0.04,1000,2000,0.035,0.965,0.0,0.004109440351191388,0.014204720832425717,0.008453230208309083
restricted_quadratic_global,0.15,0.475,0.08,0.04,1000,2000,0.035,0.965,0.0,0.004109440351191388,0.021422074600584325,0.012721498308272693
restricted_quadratic_local,0.15,0.475,0.08,0.04,1000,2000,0.035,0.965,0.0,0.004109440351191388,0.03978385282965661,0.023625639715363585
restricted_entropy_global,0.15,0.475,0.08,0.04,1000,2000,0.035,0.965,0.0,0.004109440351191388,0.018555292101255675,0.011042255427947604
restricted_entropy_local,0.15,0.475,0.08,0.04,1000,2000,0.035,0.965,0.0,0.004109440351191388,0.03640745316376306,0.021666077533110104
gini,,0.475,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.018983721930686523,0.007929145608572177
entropy,,0.475,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.013815765958314966,0.00578313370134678
restricted_quadratic_global,0.15,0.475,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.020861232890864306,0.008713346822606792
restricted_quadratic_local,0.15,0.475,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.038742289654462296,0.016181929813412613
restricted_entropy_global,0.15,0.475,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.018047209514594976,0.0075543712794516596
restricted_entropy_local,0.15,0.475,0.08,0.04,2000,2000,0.006,0.994,0.0,0.0017268468374467957,0.03541054118435415,0.014822478516503694
gini,,0.5,0.08,0.04,25,2000,0.4085,0.5485,0.043,0.010991536516793273,0.021140829597213633,0.10303686747591032
entropy,,0.5,0.08,0.04,25,2000,0.4095,0.549,0.0415,0.010995675286220486,0.017131005677261626,0.08356340520220876
restricted_quadratic_global,0.15,0.5,0.08,0.04,25,2000,0.409,0.5485,0.0425,0.010993611781393773,0.022911817323680844,0.11190045470761126
restricted_quadratic_local,0.15,0.5,0.08,0.04,25,2000,0.411,0.5465,0.0425,0.011001795308039502,0.03820766074397871,0.19330315229652667
restricted_entropy_global,0.15,0.5,0.08,0.04,25,2000,0.409,0.5495,0.0415,0.010993611781393773,0.021528646522009885,0.10500843249253788
restricted_entropy_local,0.15,0.5,0.08,0.04,25,2000,0.412,0.5465,0.0415,0.011005816643938786,0.037366818951828536,0.18827952361768469
gini,,0.5,0.08,0.04,50,2000,0.3745,0.6055,0.02,0.010822424635912231,0.019379072063747657,0.06343481969153159
entropy,,0.5,0.08,0.04,50,2000,0.374,0.6055,0.0205,0.010819519397829092,0.014751731215235004,0.0488350309851618
restricted_quadratic_global,0.15,0.5,0.08,0.04,50,2000,0.375,0.605,0.02,0.010825317547305483,0.021264733997872372,0.06953501312491839
restricted_quadratic_local,0.15,0.5,0.08,0.04,50,2000,0.374,0.606,0.02,0.010819519397829092,0.03890879171033442,0.1263417117109847
restricted_entropy_global,0.15,0.5,0.08,0.04,50,2000,0.374,0.6055,0.0205,0.010819519397829092,0.01920417628360108,0.06337465132357725
restricted_entropy_local,0.15,0.5,0.08,0.04,50,2000,0.374,0.6055,0.0205,0.010819519397829092,0.03702640062588168,0.12092394143696099
gini,,0.5,0.08,0.04,100,2000,0.305,0.6885,0.0065,0.010295023069425343,0.018975749248830488,0.04203562547926688
entropy,,0.5,0.08,0.04,100,2000,0.3055,0.688,0.0065,0.010299751210587564,0.014055424497408143,0.03131956576585385
restricted_quadratic_global,0.15,0.5,0.08,0.04,100,2000,0.305,0.689,0.006,0.010295023069425343,0.020852471702011533,0.04619299503216141
restricted_quadratic_local,0.15,0.5,0.08,0.04,100,2000,0.305,0.6885,0.0065,0.010295023069425343,0.03872601887516429,0.08578699077401407
restricted_entropy_global,0.15,0.5,0.08,0.04,100,2000,0.3055,0.688,0.0065,0.010299751210587564,0.018360269816863138,0.040912010741056215
restricted_entropy_local,0.15,0.5,0.08,0.04,100,2000,0.3055,0.688,0.0065,0.010299751210587564,0.036024798735788253,0.08027370880297688
gini,,0.5,0.08,0.04,200,2000,0.206,0.791,0.003,0.009043340090917736,0.019717267392127185,0.026609404554339335
entropy,,0.5,0.08,0.04,200,2000,0.206,0.791,0.003,0.009043340090917736,0.014447385183438832,0.019560136152889082
restricted_quadratic_global,0.15,0.5,0.08,0.04,200,2000,0.206,0.791,0.003,0.009043340090917736,0.021667326804535356,0.029241103905867396
restricted_quadratic_local,0.15,0.5,0.08,0.04,200,2000,0.206,0.791,0.003,0.009043340090917736,0.04023932120842283,0.054304907253753754
restricted_entropy_global,0.15,0.5,0.08,0.04,200,2000,0.206,0.791,0.003,0.009043340090917736,0.018872278824805466,0.0255509449385785
restricted_entropy_local,0.15,0.5,0.08,0.04,200,2000,0.206,0.791,0.003,0.009043340090917736,0.03702941477062952,0.050133666776295785
gini,,0.5,0.08,0.04,500,2000,0.1125,0.8875,0.0,0.0070655413805312895,0.01884725306261323,0.01703691388850654
entropy,,0.5,0.08,0.04,500,2000,0.1125,0.8875,0.0,0.0070655413805312895,0.01372622415109387,0.012444827675080072
restricted_quadratic_global,0.15,0.5,0.08,0.04,500,2000,0.1125,0.8875,0.0,0.0070655413805312895,0.020711267101772776,0.018721883393963225
restricted_quadratic_local,0.15,0.5,0.08,0.04,500,2000,0.1125,0.8875,0.0,0.0070655413805312895,0.03846378176043517,0.034769212017360294
restricted_entropy_global,0.15,0.5,0.08,0.04,500,2000,0.1125,0.8875,0.0,0.0070655413805312895,0.01793024316179844,0.01625638514019764
restricted_entropy_local,0.15,0.5,0.08,0.04,500,2000,0.1125,0.8875,0.0,0.0070655413805312895,0.03518104078156138,0.03189675362554856
gini,,0.5,0.08,0.04,1000,2000,0.0325,0.967,0.0005,0.003965081966365891,0.019223915641863633,0.011244525612557503
entropy,,0.5,0.08,0.04,1000,2000,0.0325,0.967,0.0005,0.003965081966365891,0.013970169335811992,0.00818796610379551
restricted_quadratic_global,0.15,0.5,0.08,0.04,1000,2000,0.0325,0.967,0.0005,0.003965081966365891,0.02112518202402596,0.012356621552260989
restricted_quadratic_local,0.15,0.5,0.08,0.04,1000,2000,0.0325,0.967,0.0005,0.003965081966365891,0.03923248090176251,0.02294801145419899
restricted_entropy_global,0.15,0.5,0.08,0.04,1000,2000,0.0325,0.967,0.0005,0.003965081966365891,0.01824890300823532,0.010695747178944105
restricted_entropy_local,0.15,0.5,0.08,0.04,1000,2000,0.0325,0.967,0.0005,0.003965081966365891,0.03580628523317189,0.020986191558930337
gini,,0.5,0.08,0.04,2000,2000,0.0035,0.9965,0.0,0.0013205585939290994,0.0195439706715615,0.00809397429872463
entropy,,0.5,0.08,0.04,2000,2000,0.0035,0.9965,0.0,0.0013205585939290994,0.014188984596897786,0.005889682690404288
restricted_quadratic_global,0.15,0.5,0.08,0.04,2000,2000,0.0035,0.9965,0.0,0.0013205585939290994,0.021476890847869776,0.008894477251345746
restricted_quadratic_local,0.15,0.5,0.08,0.04,2000,2000,0.0035,0.9965,0.0,0.0013205585939290994,0.03988565443175817,0.016518314895356396
restricted_entropy_global,0.15,0.5,0.08,0.04,2000,2000,0.0035,0.9965,0.0,0.0013205585939290994,0.018534736227596525,0.007693553713121341
restricted_entropy_local,0.15,0.5,0.08,0.04,2000,2000,0.0035,0.9965,0.0,0.0013205585939290994,0.036367120357176035,0.015095569228705676
