comparison,metric,metric_label,n_blocks,baseline_mean,treatment_mean,mean_difference,ci_lower,ci_upper,p_value,holm_p_value
RQ-local - Gini,accuracy_auc,AUC,90,0.5890128821818317,0.6233039907916922,0.0342911086098605,0.027167161244974352,0.042243786335297295,1.999960000799984e-05,0.00031999360012799745
RQ-local - Gini,final_accuracy,Final acc.,90,0.6040312444444444,0.6397671555555555,0.03573591111111111,0.028551138333333323,0.043522206388888894,1.999960000799984e-05,0.00031999360012799745
RQ-local - Gini,final_splits,Splits,90,12.377777777777778,36.355555555555554,23.977777777777778,19.6,28.677777777777777,1.999960000799984e-05,0.00031999360012799745
RQ-local - Gini,final_margin_ratio,Mean $\rho$,90,0.350732767377283,0.26567535251331087,-0.08505741486397209,-0.1169257031335686,-0.05248932407751723,1.999960000799984e-05,0.00031999360012799745
RQ-global - Gini,accuracy_auc,AUC,90,0.5890128821818317,0.5924980984936913,0.003485216311859627,0.002446539918107206,0.0047566014164489604,1.999960000799984e-05,0.00031999360012799745
RQ-global - Gini,final_accuracy,Final acc.,90,0.6040312444444444,0.6082021222222221,0.00417087777777778,0.002803391944444445,0.0058164394444444436,1.999960000799984e-05,0.00031999360012799745
RQ-global - Gini,final_splits,Splits,90,12.377777777777778,14.744444444444444,2.3666666666666667,1.4777777777777779,3.477777777777778,1.999960000799984e-05,0.00031999360012799745
RQ-global - Gini,final_margin_ratio,Mean $\rho$,90,0.350732767377283,0.3461558257259591,-0.004576941651323857,-0.0119527139240515,0.002500963307617778,0.2253754924901502,0.4507509849803004
RE-local - Entropy,accuracy_auc,AUC,90,0.5797980333685361,0.6198420155448093,0.04004398217627333,0.032132574298723446,0.0487896309937376,1.999960000799984e-05,0.00031999360012799745
RE-local - Entropy,final_accuracy,Final acc.,90,0.592492011111111,0.6355349222222222,0.043042911111111117,0.03427089083333333,0.0525520236111111,1.999960000799984e-05,0.00031999360012799745
RE-local - Entropy,final_splits,Splits,90,9.022222222222222,33.22222222222222,24.2,19.944444444444443,28.566666666666666,1.999960000799984e-05,0.00031999360012799745
RE-local - Entropy,final_margin_ratio,Mean $\rho$,90,0.35212552924426477,0.27219916293969215,-0.0799263663045727,-0.11679090084426169,-0.041314124900899966,0.0001399972000559989,0.00041999160016799666
RE-global - Entropy,accuracy_auc,AUC,90,0.5797980333685361,0.5885495895169808,0.008751556148444594,0.0067919940340540625,0.010902651747169884,1.999960000799984e-05,0.00031999360012799745
RE-global - Entropy,final_accuracy,Final acc.,90,0.592492011111111,0.6035380444444445,0.01104603333333333,0.007684023888888884,0.015048237499999992,1.999960000799984e-05,0.00031999360012799745
RE-global - Entropy,final_splits,Splits,90,9.022222222222222,12.844444444444445,3.8222222222222224,2.6666666666666665,5.144444444444445,1.999960000799984e-05,0.00031999360012799745
RE-global - Entropy,final_margin_ratio,Mean $\rho$,90,0.35212552924426477,0.34944109864201184,-0.0026844306022530393,-0.019661714109306557,0.013828292616633629,0.7591048179036419,0.7591048179036419
