,OnlineBagging,OzaBoost,EFDT
42200,92.0,79.0,86.5
42400,83.5,92.5,82.0
42600,86.5,87.0,86.5
42800,68.5,85.0,75.5
43000,92.0,73.0,85.0
43200,79.0,90.5,77.5
43400,76.5,82.5,78.0
43600,94.0,87.0,86.0
43800,76.5,89.5,77.5
44000,77.0,82.5,74.0
44200,85.5,83.5,74.0
44400,82.5,89.0,76.0
44600,90.0,90.0,80.0
44800,80.5,89.5,82.5
45000,88.5,85.5,87.0
45312,90.5,87.5,78.5
